sl No,item_code,item_description
130,3.7,"Surface dressing over WBM with precoated chips using 2.70m3 of 11.2mm chips per 100m2 and 44.00 kg of bitumen for 1.0m3 of chips for pre mixing and 100 kg of bitumen for tack coat per 100m2 and spreading river sand at the rate of 0.145m3 / 100m2 including cost of metal, bitumen of grade 80/100, rolling and consolidating by power roller of 8 to 10 tonne capacity including hire charges for tools and plants, fuel charges, etc. all complete and as directed by the departmental officers. (The bitumen 80/100 grade should be got approved from the Executive Engineer before use.)"
131,3.8,"Plain cement concrete 1:4:8 (One of cement, four of sand  and eight of hard broken stone jelly) for foundation using 40mm gauge hard broken stone jelly inclusive of shoring, strutting and bailing out water wherever necessary ramming, curing etc., complete in all respects complying with relevant standard specifications and as directed by the Departmental officers."
132,3.8.1,"Plain cement concrete 1:4:8 (One of cement, four of sand and eight of hard broken stone jelly) for foundation below 1.50m and upto 4.50m from ground level using 40mm gauge hard broken stone jelly inclusive of shoring, strutting and bailing out water wherever necessary ramming, curing etc., complete in all respects complying with relevant standard specifications and as directed by the Departmental officers."
133,3.8.3,"Plain cement concrete 1:3:6 (One of cement, three of sand  and six of hard broken stone jelly) using 20mm gauge hard broken stone jelly excluding shuttering and centering but including laying, curing and finishing etc., complete in all respects complying with relevant standard specifications and as directed by the Departmental officers."
134,3.8.4,"Plain cement concrete 1:4:8 (One of cement, four of crushed stone sand and eight of hard broken stone jelly) for foundation using 40mm gauge hard broken stone jelly inclusive of shoring, strutting and bailing out water wherever necessary ramming, curing etc., complete in all respects complying with relevant standard specifications and as directed by the Departmental officers."
135,3.9.2,"Plain cement concrete 1:5:10 (One of cement, five of sand and ten of hard broken stone jelly) for foundation below 1.50m and upto 4.50m from ground level using 40mm gauge hard broken stone jelly inclusive of shoring, strutting and bailing out water wherever necessary ramming, curing etc., complete in all respects complying with relevant standard specifications and as directed by the Departmental officers."
136,4.1,"Reinforced Cement concrete 1:2:4 (One of cement, two of sand and four of stone jelly) for all reinforced cement concrete works, namely plinth beams, tie beams, column and column footing, slabs etc., using 20mm gauge hard broken stone jelly excluding the cost and fabrication of reinforcement grills, shuttering and centering but including vibrating, laying, curing, with relevant standard specifications in Foundation and Basement."
137,4.2,"Reinforced Cement concrete 1:11/2:3 (One of cement, one and half of sand and three of stone jelly) for all reinforced cement concrete works, namely plinth beams/column/tie beams, column footings, slab etc., using 20mm gauge hard broken stone jelly excluding the cost and fabrication of reinforcement grills, shuttering and centering but including, vibrating, laying, curing, with relevant standard specifications in Foundation and Basement."
138,4.2.1,"Cement concrete using design mix of grade M25 concrete for all RCC works namely plinth beams, coloumns, tie beams, coloumns footings, slabs etc., (using hard broken stone graded chips of size 20mm and less) excluding the cost and fabrication of reinforcement grills, shuttering and centering but including vibrating, laying, curing with relevant standard specifications for foundation and basement upto 1.5m   from 4.5m."
139,4.2.2,"Cement concrete using design mix of grade M25 concrete for all RCC works namely plinth beams, coloumns, tie beams, coloumns footings, slabs etc., (using hard broken stone graded chips of size 20mm and less) excluding the cost and fabrication of reinforcement grills, shuttering and centering but including vibrating, laying, curing with relevant standard specifications for foundation and basement below 4.5m & upto 9m from ground level."
